State,Ag.District,County,Year,livestock_ton_CCO2,livestock_ton_CCO2 2.5,livestock_ton_CCO2 97.5
ALABAMA,BLACK BELT,MONTGOMERY,2020,44572.55163,18657.50497,75511.09353
ALABAMA,BLACK BELT,PERRY,2015,11077.35527,2387.145874,21739.40326
ALABAMA,BLACK BELT,PERRY,2016,11534.96834,2435.049315,23052.09315
ALABAMA,BLACK BELT,PERRY,2017,12984.93488,2715.623647,25440.74202
ALABAMA,BLACK BELT,PERRY,2018,13603.13263,2939.699928,27047.14384
ALABAMA,BLACK BELT,PERRY,2019,13214.88019,2707.699113,26297.39248
ALABAMA,BLACK BELT,PERRY,2020,13250.78227,2791.996059,26338.37891
ALABAMA,BLACK BELT,SUMTER,2015,11408.07418,2483.055632,22299.89952
ALABAMA,BLACK BELT,SUMTER,2016,11955.50949,2625.515744,23273.68127
ALABAMA,BLACK BELT,SUMTER,2017,13396.08823,2873.720757,25938.1892
ALABAMA,BLACK BELT,SUMTER,2018,14011.42103,3039.780779,26992.52754
ALABAMA,BLACK BELT,SUMTER,2019,13580.09246,2940.122521,26150.99635
ALABAMA,BLACK BELT,SUMTER,2020,13577.23247,2957.529567,26172.08426
ALABAMA,COASTAL PLAINS & GULF COAST,BALDWIN,2015,13881.4259,3755.908078,26117.14313
ALABAMA,COASTAL PLAINS & GULF COAST,BALDWIN,2016,14414.83712,3663.54743,27179.92902
ALABAMA,COASTAL PLAINS & GULF COAST,BALDWIN,2017,16073.97871,4077.73179,30427.62334
ALABAMA,COASTAL PLAINS & GULF COAST,BALDWIN,2018,16909.64781,4276.669921,32009.44938
ALABAMA,COASTAL PLAINS & GULF COAST,BALDWIN,2019,16460.5577,4122.268862,31033.81881
ALABAMA,COASTAL PLAINS & GULF COAST,BALDWIN,2020,16358.39602,4178.513046,31113.64243
ALABAMA,COASTAL PLAINS & GULF COAST,BUTLER,2015,87987.63845,55668.1396,124220.7283
ALABAMA,COASTAL PLAINS & GULF COAST,BUTLER,2016,82177.6278,52105.37209,116226.4345
ALABAMA,COASTAL PLAINS & GULF COAST,BUTLER,2017,84669.11376,54114.06313,119681.7448
ALABAMA,COASTAL PLAINS & GULF COAST,BUTLER,2018,86722.03684,54754.64449,123418.9298
ALABAMA,COASTAL PLAINS & GULF COAST,BUTLER,2019,88765.6587,56018.96333,125555.0641
ALABAMA,COASTAL PLAINS & GULF COAST,BUTLER,2020,92196.20915,58747.98942,130931.2933
ALABAMA,COASTAL PLAINS & GULF COAST,CHOCTAW,2015,1464.940677,540.0394604,2687.042254
ALABAMA,COASTAL PLAINS & GULF COAST,CHOCTAW,2016,1507.261467,534.756024,2794.807373
ALABAMA,COASTAL PLAINS & GULF COAST,CHOCTAW,2017,1649.287873,572.7246668,3080.047884
ALABAMA,COASTAL PLAINS & GULF COAST,CHOCTAW,2018,1720.69184,588.7373907,3264.641581
ALABAMA,COASTAL PLAINS & GULF COAST,CHOCTAW,2019,1675.234104,586.5381495,3164.659635
ALABAMA,COASTAL PLAINS & GULF COAST,CHOCTAW,2020,1691.39224,600.817203,3184.804809
ALABAMA,COASTAL PLAINS & GULF COAST,CLARKE,2015,4252.238438,1131.382841,7890.080543
ALABAMA,COASTAL PLAINS & GULF COAST,CLARKE,2016,4425.205473,1210.773509,8336.055021
ALABAMA,COASTAL PLAINS & GULF COAST,CLARKE,2017,4926.527131,1280.223308,9231.927783
ALABAMA,COASTAL PLAINS & GULF COAST,CLARKE,2018,5162.969425,1337.990255,9773.843004
ALABAMA,COASTAL PLAINS & GULF COAST,CLARKE,2019,5012.802763,1301.834327,9450.641327
ALABAMA,COASTAL PLAINS & GULF COAST,CLARKE,2020,5009.118254,1272.831093,9467.413207
ALABAMA,COASTAL PLAINS & GULF COAST,CONECUH,2015,6965.757586,1718.630655,13284.28555
ALABAMA,COASTAL PLAINS & GULF COAST,CONECUH,2016,7227.776459,1738.66057,13671.65825
ALABAMA,COASTAL PLAINS & GULF COAST,CONECUH,2017,8093.938861,1887.864668,15410.24664
ALABAMA,COASTAL PLAINS & GULF COAST,CONECUH,2018,8474.692933,1937.225106,16059.7525
ALABAMA,COASTAL PLAINS & GULF COAST,CONECUH,2019,8266.342108,1944.833896,15737.82618
ALABAMA,COASTAL PLAINS & GULF COAST,CONECUH,2020,8236.874847,1937.778965,15741.13146
ALABAMA,COASTAL PLAINS & GULF COAST,ESCAMBIA,2015,6820.487439,1704.253067,13105.58496
ALABAMA,COASTAL PLAINS & GULF COAST,ESCAMBIA,2016,7062.878952,1707.220666,13554.75544
ALABAMA,COASTAL PLAINS & GULF COAST,ESCAMBIA,2017,7913.915496,1888.877666,15231.48581
ALABAMA,COASTAL PLAINS & GULF COAST,ESCAMBIA,2018,8289.410918,2030.197029,16110.72567
ALABAMA,COASTAL PLAINS & GULF COAST,ESCAMBIA,2019,8083.632088,1892.774054,15709.88552
ALABAMA,COASTAL PLAINS & GULF COAST,ESCAMBIA,2020,8059.713397,1873.6881,15738.30341
ALABAMA,COASTAL PLAINS & GULF COAST,MOBILE,2015,6813.228986,1831.004333,13549.46521
ALABAMA,COASTAL PLAINS & GULF COAST,MOBILE,2016,7070.05555,1868.053303,13932.75001
ALABAMA,COASTAL PLAINS & GULF COAST,MOBILE,2017,7934.01511,2113.609307,16033.52302
ALABAMA,COASTAL PLAINS & GULF COAST,MOBILE,2018,8239.847804,2171.1999,16560.0218
ALABAMA,COASTAL PLAINS & GULF COAST,MOBILE,2019,8037.493436,2078.485019,16069.56765
ALABAMA,COASTAL PLAINS & GULF COAST,MOBILE,2020,8012.831647,2086.827311,16222.03418
ALABAMA,COASTAL PLAINS & GULF COAST,MONROE,2015,4253.62073,1071.979167,8590.347373
ALABAMA,COASTAL PLAINS & GULF COAST,MONROE,2016,4406.799891,1108.877561,8893.957628
ALABAMA,COASTAL PLAINS & GULF COAST,MONROE,2017,4906.257447,1253.495088,9979.818691
ALABAMA,COASTAL PLAINS & GULF COAST,MONROE,2018,5155.856742,1293.391792,10567.74738
ALABAMA,COASTAL PLAINS & GULF COAST,MONROE,2019,5002.609486,1246.238682,10113.36864
ALABAMA,COASTAL PLAINS & GULF COAST,MONROE,2020,5005.123759,1257.444263,10117.23112
ALABAMA,COASTAL PLAINS & GULF COAST,WASHINGTON,2015,9340.928303,4002.666438,15419.37681
ALABAMA,COASTAL PLAINS & GULF COAST,WASHINGTON,2016,9478.839251,3860.693294,16002.4325
ALABAMA,COASTAL PLAINS & GULF COAST,WASHINGTON,2017,10364.01179,4146.990606,17653.52594
ALABAMA,COASTAL PLAINS & GULF COAST,WASHINGTON,2018,10786.26214,4354.97742,18429.96396
ALABAMA,COASTAL PLAINS & GULF COAST,WASHINGTON,2019,10545.79603,4199.574294,17815.49084
ALABAMA,COASTAL PLAINS & GULF COAST,WASHINGTON,2020,10664.61868,4277.064547,18056.58411
ALABAMA,COASTAL PLAINS & GULF COAST,WILCOX,2015,9356.492317,1945.362055,18381.11986
ALABAMA,COASTAL PLAINS & GULF COAST,WILCOX,2016,9779.035535,2061.383398,19360.51408
ALABAMA,COASTAL PLAINS & GULF COAST,WILCOX,2017,10953.01098,2348.015845,21534.50076
ALABAMA,COASTAL PLAINS & GULF COAST,WILCOX,2018,11450.59149,2422.925886,22702.63077
ALABAMA,COASTAL PLAINS & GULF COAST,WILCOX,2019,11146.19627,2323.078752,22352.23378
ALABAMA,COASTAL PLAINS & GULF COAST,WILCOX,2020,11131.0884,2234.058624,21929.80812
ALABAMA,MOUNTAINS & EASTERN VALLEY,BLOUNT,2015,208473.5154,138936.1288,286048.1279
ALABAMA,MOUNTAINS & EASTERN VALLEY,BLOUNT,2016,196483.7278,129058.0647,272095.767
ALABAMA,MOUNTAINS & EASTERN VALLEY,BLOUNT,2017,203462.699,134031.7378,280309.0647
ALABAMA,MOUNTAINS & EASTERN VALLEY,BLOUNT,2018,209913.7671,137573.3338,289792.3299
ALABAMA,MOUNTAINS & EASTERN VALLEY,BLOUNT,2019,213425.4369,139837.0816,293511.265
ALABAMA,MOUNTAINS & EASTERN VALLEY,BLOUNT,2020,220838.7985,144261.3111,305128.2659
ALABAMA,MOUNTAINS & EASTERN VALLEY,CALHOUN,2015,40658.26554,26367.79425,56366.20325
ALABAMA,MOUNTAINS & EASTERN VALLEY,CALHOUN,2016,39128.86842,25015.98749,54545.37363
ALABAMA,MOUNTAINS & EASTERN VALLEY,CALHOUN,2017,41408.94085,26080.79253,58155.41326
ALABAMA,MOUNTAINS & EASTERN VALLEY,CALHOUN,2018,42709.76523,27293.18973,59779.23529
ALABAMA,MOUNTAINS & EASTERN VALLEY,CALHOUN,2019,42863.92996,27363.11806,60593.46744
ALABAMA,MOUNTAINS & EASTERN VALLEY,CALHOUN,2020,43994.3953,28011.61452,61633.56003
ALABAMA,MOUNTAINS & EASTERN VALLEY,CHEROKEE,2015,92828.41275,58453.29847,130715.8144
ALABAMA,MOUNTAINS & EASTERN VALLEY,CHEROKEE,2016,86704.06531,55680.76931,123869.6407
ALABAMA,MOUNTAINS & EASTERN VALLEY,CHEROKEE,2017,89062.04584,56598.21021,125649.229
ALABAMA,MOUNTAINS & EASTERN VALLEY,CHEROKEE,2018,91651.37334,58609.49096,128723.46
ALABAMA,MOUNTAINS & EASTERN VALLEY,CHEROKEE,2019,93471.7077,59967.01297,131632.6818
ALABAMA,MOUNTAINS & EASTERN VALLEY,CHEROKEE,2020,97308.76298,62443.65243,137765.3681
ALABAMA,MOUNTAINS & EASTERN VALLEY,CLEBURNE,2015,86487.82748,55412.06649,121471.8016
ALABAMA,MOUNTAINS & EASTERN VALLEY,CLEBURNE,2016,80511.58639,51536.78871,114515.818
ALABAMA,MOUNTAINS & EASTERN VALLEY,CLEBURNE,2017,82892.30489,52861.42205,117191.9401
ALABAMA,MOUNTAINS & EASTERN VALLEY,CLEBURNE,2018,85018.11001,54204.88094,119983.9904
ALABAMA,MOUNTAINS & EASTERN VALLEY,CLEBURNE,2019,86937.24377,55650.69964,123028.9479
ALABAMA,MOUNTAINS & EASTERN VALLEY,CLEBURNE,2020,90060.37008,57765.16982,127685.0593
ALABAMA,MOUNTAINS & EASTERN VALLEY,CULLMAN,2015,359216.2379,239537.9879,492863.398
ALABAMA,MOUNTAINS & EASTERN VALLEY,CULLMAN,2016,338133.4877,227291.807,465067.6262
ALABAMA,MOUNTAINS & EASTERN VALLEY,CULLMAN,2017,348563.9892,232465.5263,478208.0134
ALABAMA,MOUNTAINS & EASTERN VALLEY,CULLMAN,2018,358692.8848,239702.633,492417.5805
ALABAMA,MOUNTAINS & EASTERN VALLEY,CULLMAN,2019,364275.9651,241746.2201,501942.8213
ALABAMA,MOUNTAINS & EASTERN VALLEY,CULLMAN,2020,377873.5725,252701.9588,519788.9516
ALABAMA,MOUNTAINS & EASTERN VALLEY,DE KALB,2015,378792.4891,251507.9731,519863.6363
ALABAMA,MOUNTAINS & EASTERN VALLEY,DE KALB,2016,356440.2295,237875.3383,488467.1127
ALABAMA,MOUNTAINS & EASTERN VALLEY,DE KALB,2017,369475.427,248140.7958,507585.9403
ALABAMA,MOUNTAINS & EASTERN VALLEY,DE KALB,2018,378324.5571,254230.7164,518359.8327
ALABAMA,MOUNTAINS & EASTERN VALLEY,DE KALB,2019,384291.5453,257310.9164,526548.7105
ALABAMA,MOUNTAINS & EASTERN VALLEY,DE KALB,2020,398095.0567,267467.763,545642.1991
ALABAMA,MOUNTAINS & EASTERN VALLEY,ETOWAH,2015,73708.86125,49046.93725,100848.5221
ALABAMA,MOUNTAINS & EASTERN VALLEY,ETOWAH,2016,69835.58725,46566.55419,95813.3133
ALABAMA,MOUNTAINS & EASTERN VALLEY,ETOWAH,2017,72556.63805,48636.32408,99454.82667
ALABAMA,MOUNTAINS & EASTERN VALLEY,ETOWAH,2018,74724.02607,49625.39226,102172.4301
ALABAMA,MOUNTAINS & EASTERN VALLEY,ETOWAH,2019,75376.07742,50096.17379,103516.3532
ALABAMA,MOUNTAINS & EASTERN VALLEY,ETOWAH,2020,78171.14199,51726.7352,107695.0008
ALABAMA,MOUNTAINS & EASTERN VALLEY,JACKSON,2015,108254.577,70964.94848,149648.1783
ALABAMA,MOUNTAINS & EASTERN VALLEY,JACKSON,2016,101183.3249,66774.84436,141017.4948
ALABAMA,MOUNTAINS & EASTERN VALLEY,JACKSON,2017,104545.9324,69020.50643,144885.171
ALABAMA,MOUNTAINS & EASTERN VALLEY,JACKSON,2018,107844.2949,70854.71691,149434.9281
ALABAMA,MOUNTAINS & EASTERN VALLEY,JACKSON,2019,109575.7273,72991.62356,151122.0113
ALABAMA,MOUNTAINS & EASTERN VALLEY,JACKSON,2020,113264.7235,74137.736,157011.6316
ALABAMA,MOUNTAINS & EASTERN VALLEY,MARSHALL,2015,205361.6057,135302.9931,284553.7725
ALABAMA,MOUNTAINS & EASTERN VALLEY,MARSHALL,2016,194056.4275,128904.6531,265966.4541
ALABAMA,MOUNTAINS & EASTERN VALLEY,MARSHALL,2017,200152.3658,133176.256,275117.121
ALABAMA,MOUNTAINS & EASTERN VALLEY,MARSHALL,2018,206141.6102,138277.7104,282939.6169
ALABAMA,MOUNTAINS & EASTERN VALLEY,MARSHALL,2019,209644.7629,137985.1026,289005.994
ALABAMA,MOUNTAINS & EASTERN VALLEY,MARSHALL,2020,216607.735,142255.8608,299004.048
ALABAMA,MOUNTAINS & EASTERN VALLEY,SAINT CLAIR,2015,45841.97764,30106.15264,63340.53853
ALABAMA,MOUNTAINS & EASTERN VALLEY,SAINT CLAIR,2016,43351.74515,28507.22,59423.91583
ALABAMA,MOUNTAINS & EASTERN VALLEY,SAINT CLAIR,2017,45052.9659,29902.28332,62402.54637
ALABAMA,MOUNTAINS & EASTERN VALLEY,SAINT CLAIR,2018,46349.82019,30543.50502,64230.776
ALABAMA,MOUNTAINS & EASTERN VALLEY,SAINT CLAIR,2019,46825.76449,30536.38148,64376.14878
ALABAMA,MOUNTAINS & EASTERN VALLEY,SAINT CLAIR,2020,48596.80602,31817.58665,67560.64527
ALABAMA,NORTHERN VALLEY,COLBERT,2015,25486.40866,15983.97461,36249.16295
ALABAMA,NORTHERN VALLEY,COLBERT,2016,24727.49439,15165.16801,35343.80929
ALABAMA,NORTHERN VALLEY,COLBERT,2017,26309.01001,15815.37998,38080.02095
ALABAMA,NORTHERN VALLEY,COLBERT,2018,27223.10991,16405.10466,39480.33803
ALABAMA,NORTHERN VALLEY,COLBERT,2019,27207.52549,16488.07779,39378.93835
ALABAMA,NORTHERN VALLEY,COLBERT,2020,27844.6993,17029.86272,40055.37297
ALABAMA,NORTHERN VALLEY,FRANKLIN,2015,112422.2572,75272.55352,155346.5114
ALABAMA,NORTHERN VALLEY,FRANKLIN,2016,105970.1312,70715.34056,146072.4695
ALABAMA,NORTHERN VALLEY,FRANKLIN,2017,109849.1727,71851.58947,150083.7603
ALABAMA,NORTHERN VALLEY,FRANKLIN,2018,113202.8993,74987.28461,155424.2398
ALABAMA,NORTHERN VALLEY,FRANKLIN,2019,114678.2459,76341.322,158287.1405
ALABAMA,NORTHERN VALLEY,FRANKLIN,2020,118984.165,79176.30482,163194.0521
ALABAMA,NORTHERN VALLEY,LAUDERDALE,2015,33775.5967,19102.81303,51105.73186
ALABAMA,NORTHERN VALLEY,LAUDERDALE,2016,33534.97161,17942.08187,51332.64623
ALABAMA,NORTHERN VALLEY,LAUDERDALE,2017,35953.67044,18862.19382,55697.12526
ALABAMA,NORTHERN VALLEY,LAUDERDALE,2018,37383.32288,19324.55471,58528.5618
ALABAMA,NORTHERN VALLEY,LAUDERDALE,2019,37116.81264,19646.94039,57728.7966
ALABAMA,NORTHERN VALLEY,LAUDERDALE,2020,37585.78141,20103.16343,58038.33839
ALABAMA,NORTHERN VALLEY,LAWRENCE,2015,138929.3565,93428.67457,189821.2473
ALABAMA,NORTHERN VALLEY,LAWRENCE,2016,131071.1554,88210.57699,178574.8511
ALABAMA,NORTHERN VALLEY,LAWRENCE,2017,136152.2357,90929.87985,186172.1673
ALABAMA,NORTHERN VALLEY,LAWRENCE,2018,140026.1914,93729.19554,192053.1331
ALABAMA,NORTHERN VALLEY,LAWRENCE,2019,142128.7815,95709.46195,193992.8649
ALABAMA,NORTHERN VALLEY,LAWRENCE,2020,146794.0222,97962.13921,200723.1617
ALABAMA,NORTHERN VALLEY,LIMESTONE,2015,49503.83162,32814.91468,68303.37792
ALABAMA,NORTHERN VALLEY,LIMESTONE,2016,47557.47647,30569.08434,66454.22227
ALABAMA,NORTHERN VALLEY,LIMESTONE,2017,50307.4413,32273.027,70963.57145
ALABAMA,NORTHERN VALLEY,LIMESTONE,2018,51741.14146,33001.78257,73276.20268
ALABAMA,NORTHERN VALLEY,LIMESTONE,2019,52029.74591,33168.29806,73004.58795
ALABAMA,NORTHERN VALLEY,LIMESTONE,2020,53290.55038,34251.65416,74516.47117
ALABAMA,NORTHERN VALLEY,MADISON,2015,10587.87123,3273.662676,19182.6866
ALABAMA,NORTHERN VALLEY,MADISON,2016,10952.3214,3259.80439,19961.02544
ALABAMA,NORTHERN VALLEY,MADISON,2017,12159.04191,3644.777799,22301.96599
ALABAMA,NORTHERN VALLEY,MADISON,2018,12672.2505,3631.907305,23535.44834
ALABAMA,NORTHERN VALLEY,MADISON,2019,12325.14166,3507.530917,22700.02924
ALABAMA,NORTHERN VALLEY,MADISON,2020,12286.60281,3633.995613,22517.71117
ALABAMA,NORTHERN VALLEY,MARION,2015,95288.74424,62547.38899,133464.2745
ALABAMA,NORTHERN VALLEY,MARION,2016,89567.73945,58588.71721,125086.6747
ALABAMA,NORTHERN VALLEY,MARION,2017,92964.68512,61133.45809,128945.9944
ALABAMA,NORTHERN VALLEY,MARION,2018,95300.99982,62870.10745,132778.4189
ALABAMA,NORTHERN VALLEY,MARION,2019,96908.79957,62961.19199,134953.8945
ALABAMA,NORTHERN VALLEY,MARION,2020,100160.5579,65456.44409,138839.2483
ALABAMA,NORTHERN VALLEY,MORGAN,2015,77410.05617,51303.04044,105799.4777
ALABAMA,NORTHERN VALLEY,MORGAN,2016,73730.0847,48908.32712,101063.0274
ALABAMA,NORTHERN VALLEY,MORGAN,2017,77184.90502,50991.19782,106683.0322
ALABAMA,NORTHERN VALLEY,MORGAN,2018,79151.67547,51361.6753,109195.4335
ALABAMA,NORTHERN VALLEY,MORGAN,2019,79724.68657,52288.61794,110246.8065
ALABAMA,NORTHERN VALLEY,MORGAN,2020,82104.70312,53787.9828,113158.4712
ALABAMA,NORTHERN VALLEY,WINSTON,2015,16111.62942,9500.231787,23956.9744
ALABAMA,NORTHERN VALLEY,WINSTON,2016,15822.35667,9003.598882,23813.94042
ALABAMA,NORTHERN VALLEY,WINSTON,2017,16934.33171,9448.679746,25615.1685
ALABAMA,NORTHERN VALLEY,WINSTON,2018,17603.6461,9665.696324,26889.29843
ALABAMA,NORTHERN VALLEY,WINSTON,2019,17520.25903,9813.436299,26639.56515
ALABAMA,NORTHERN VALLEY,WINSTON,2020,17848.91718,10094.5025,26995.9669
ALABAMA,UPPER PLAINS & PIEDMONT,BIBB,2015,4298.141081,1107.975954,8163.865924
ALABAMA,UPPER PLAINS & PIEDMONT,BIBB,2016,4468.927464,1095.487718,8529.8526
ALABAMA,UPPER PLAINS & PIEDMONT,BIBB,2017,5027.28606,1251.477367,9636.585331
ALABAMA,UPPER PLAINS & PIEDMONT,BIBB,2018,5299.60619,1325.358195,10150.23157
ALABAMA,UPPER PLAINS & PIEDMONT,BIBB,2019,5161.141916,1265.755214,9965.259776
ALABAMA,UPPER PLAINS & PIEDMONT,BIBB,2020,5164.329904,1333.767356,9940.124593
ALABAMA,UPPER PLAINS & PIEDMONT,CHAMBERS,2015,12020.15957,2876.748068,23151.59603
ALABAMA,UPPER PLAINS & PIEDMONT,CHAMBERS,2016,12476.3333,2957.279424,24028.27265
ALABAMA,UPPER PLAINS & PIEDMONT,CHAMBERS,2017,13933.12458,3183.641569,26854.00212
ALABAMA,UPPER PLAINS & PIEDMONT,CHAMBERS,2018,14562.90088,3313.792657,28087.59562
ALABAMA,UPPER PLAINS & PIEDMONT,CHAMBERS,2019,14095.81066,3271.425315,27152.91052
ALABAMA,UPPER PLAINS & PIEDMONT,CHAMBERS,2020,14082.42975,3219.795471,27069.7328
ALABAMA,UPPER PLAINS & PIEDMONT,CHILTON,2015,8347.867991,2193.337715,15636.44844
ALABAMA,UPPER PLAINS & PIEDMONT,CHILTON,2016,8609.679078,2338.734812,16251.85798
ALABAMA,UPPER PLAINS & PIEDMONT,CHILTON,2017,9582.410844,2491.612381,18149.21208
ALABAMA,UPPER PLAINS & PIEDMONT,CHILTON,2018,10029.96776,2648.067675,18769.19602
ALABAMA,UPPER PLAINS & PIEDMONT,CHILTON,2019,9774.281077,2524.204374,18594.51707
ALABAMA,UPPER PLAINS & PIEDMONT,CHILTON,2020,9766.750132,2545.722144,18466.15176
ALABAMA,UPPER PLAINS & PIEDMONT,CLAY,2015,65891.71461,42950.44795,91723.2657
ALABAMA,UPPER PLAINS & PIEDMONT,CLAY,2016,61711.27675,40031.96333,86401.54431
ALABAMA,UPPER PLAINS & PIEDMONT,CLAY,2017,63420.32737,41266.48328,87987.64544
ALABAMA,UPPER PLAINS & PIEDMONT,CLAY,2018,65488.1161,43099.35875,91230.91728
ALABAMA,UPPER PLAINS & PIEDMONT,CLAY,2019,66875.32699,43329.76957,93227.62165
ALABAMA,UPPER PLAINS & PIEDMONT,CLAY,2020,68982.31192,45035.73899,95945.37656
ALABAMA,UPPER PLAINS & PIEDMONT,COOSA,2015,1653.119262,465.3417354,3257.277389
ALABAMA,UPPER PLAINS & PIEDMONT,COOSA,2016,1702.637149,482.1798901,3349.858731
ALABAMA,UPPER PLAINS & PIEDMONT,COOSA,2017,1905.268497,532.7292998,3709.180956
ALABAMA,UPPER PLAINS & PIEDMONT,COOSA,2018,1985.474135,535.1888363,3931.169208
ALABAMA,UPPER PLAINS & PIEDMONT,COOSA,2019,1928.104429,523.200132,3837.940517
ALABAMA,UPPER PLAINS & PIEDMONT,COOSA,2020,1927.871883,510.3576049,3798.108337
ALABAMA,UPPER PLAINS & PIEDMONT,FAYETTE,2015,16825.30263,10942.37893,23543.99614
